,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Scientific_Name,Common_Name
23340,194698,DPW Maintained,Pittosporum undulatum :: Victorian Box,1740 20th St,3.0,Sidewalk: Curb side : Yard,Private,,9,Width 3ft,37.75992635,-122.3989355,Pittosporum undulatum ,Victorian Box
23342,8784,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3540 Geary Blvd,2.0,Sidewalk: Curb side : Cutout,Private,,9,3X3,37.78148181,-122.4573789,Metrosideros excelsa ,New Zealand Xmas Tree
23344,195497,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,310 The Embarcadero,8.0,Sidewalk: Curb side : Cutout,Private,,10,Width 4ft,37.78877136,-122.3882885,Platanus x hispanica ,Sycamore: London Plane
23359,160070,DPW Maintained,Lophostemon confertus :: Brisbane Box,1000 Cayuga Ave,13.0,Sidewalk: Curb side : Cutout,Private,3/13/21 0:00,3,Width 0ft,37.72009427,-122.4411513,Lophostemon confertus ,Brisbane Box
23361,22429,Permitted Site,Lophostemon confertus :: Brisbane Box,5919 03rd St,4.0,Sidewalk: Curb side : Cutout,Private,1/13/95 0:00,3,,37.72449086,-122.3945559,Lophostemon confertus ,Brisbane Box
23377,236042,DPW Maintained,Pittosporum undulatum :: Victorian Box,39 Buena Vista Ter,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.76827829,-122.438231,Pittosporum undulatum ,Victorian Box
23378,131448,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,65 Powell St,1.0,Sidewalk: Curb side : Cutout,Private,,14,Width 4ft,37.78533788,-122.4079103,Metrosideros excelsa ,New Zealand Xmas Tree
23382,117541,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,444 Presidio Ave,4.0,Sidewalk: Curb side : Cutout,Private,,14,3x3,37.78752959,-122.4467469,Platanus x hispanica ,Sycamore: London Plane
23390,202601,DPW Maintained,Lophostemon confertus :: Brisbane Box,701 Division St,3.0,Sidewalk: Curb side : Cutout,Private,,8,Width 5ft,37.7699392,-122.4026353,Lophostemon confertus ,Brisbane Box
23393,211858,DPW Maintained,Pittosporum undulatum :: Victorian Box,427 Joost Ave,3.0,Sidewalk: Property side : Yard,Private,,8,Width 10ft,37.73226907,-122.4450222,Pittosporum undulatum ,Victorian Box
23394,137545,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1450 Steiner St,14.0,Sidewalk: Curb side : Cutout,Private,,13,Width 0ft,37.78270624,-122.4343468,Platanus x hispanica ,Sycamore: London Plane
23398,5907,DPW Maintained,Lophostemon confertus :: Brisbane Box,1280 Eddy St,2.0,Sidewalk: Curb side : Cutout,DPW,,3,3X3,37.78219682,-122.4283587,Lophostemon confertus ,Brisbane Box
23416,105494,Undocumented,Platanus x hispanica :: Sycamore: London Plane,199 FREMONT ST,2.0,Sidewalk: Curb side : Cutout,Private,,6,4x4,37.78982142,-122.39485,Platanus x hispanica ,Sycamore: London Plane
23431,29507,Permitted Site,Lophostemon confertus :: Brisbane Box,1850X Ingalls St,1.0,Sidewalk: Curb side : Cutout,Fire Dept,2/28/06 0:00,16,3x3,37.72775297,-122.3851088,Lophostemon confertus ,Brisbane Box
23432,48890,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3132 Clement St,3.0,Sidewalk: Curb side : Cutout,Private,11/22/02 0:00,8,,37.78172361,-122.4930674,Platanus x hispanica ,Sycamore: London Plane
